100
(52, 5, 21)
(51, 64, 32)
(43, 65, 17)
(47, 11, 94)
(16, 34, 23)
(39, 7, 92)
(61, 35, 37)
(32, 93, 97)
(73, 51, 83)
(60, 15, 54)
(50, 76, 15)
(48, 69, 80)
(27, 46, 73)
(20, 59, 77)
(26, 61, 62)
(87, 47, 14)
(94, 62, 69)
(88, 55, 93)
(41, 98, 70)
(44, 88, 26)
(23, 2, 29)
(93, 16, 4)
(2, 85, 10)
(82, 70, 48)
(12, 20, 30)
(96, 91, 59)
(9, 52, 95)
(92, 74, 24)
(34, 95, 34)
(63, 26, 1)
(3, 50, 22)
(76, 12, 84)
(98, 37, 76)
(59, 19, 7)
(5, 40, 3)
(30, 10, 61)
(54, 68, 39)
(69, 81, 46)
(37, 8, 85)
(8, 53, 72)
(78, 17, 16)
(42, 67, 74)
(97, 89, 45)
(90, 38, 88)
(77, 71, 5)
(66, 31, 38)
(86, 96, 90)
(72, 78, 40)
(49, 56, 28)
(89, 4, 78)
(35, 90, 51)
(15, 32, 68)
(85, 9, 42)
(55, 49, 50)
(84, 80, 63)
(10, 60, 56)
(62, 0, 36)
(56, 99, 49)
(22, 54, 18)
(65, 36, 8)
(81, 25, 71)
(99, 79, 27)
(75, 30, 66)
(68, 24, 87)
(29, 84, 53)
(25, 41, 9)
(64, 13, 89)
(67, 22, 47)
(6, 75, 35)
(28, 83, 6)
(38, 21, 91)
(46, 14, 43)
(14, 58, 79)
(70, 23, 20)
(58, 94, 19)
(91, 57, 81)
(95, 18, 33)
(11, 72, 12)
(33, 66, 25)
(79, 45, 60)
(83, 63, 55)
(17, 39, 75)
(57, 6, 96)
(21, 29, 11)
(31, 73, 52)
(13, 48, 41)
(4, 43, 99)
(18, 3, 2)
(24, 77, 98)
(74, 33, 65)
(7, 27, 13)
(45, 42, 64)
(19, 82, 58)
(80, 87, 82)
(53, 28, 44)
(0, 86, 57)
(36, 1, 86)
(71, 97, 31)
(40, 44, 67)
